,クレジット残高,ローン期間,前回のローンの状態,ローン金額,貯金・株残高,雇用期間（ただいまの仕事）,最も価値のあるアセット,信用(Y)
0,1,3,2,3,1,1,2,0
1,1,2,2,5,1,2,1,0
2,2,2,1,2,2,3,1,0
3,1,2,2,4,1,2,1,0
4,1,2,2,4,1,2,2,0
5,1,2,2,4,1,1,1,0
6,1,2,2,5,1,3,1,0
7,1,1,2,3,1,1,1,0
8,3,3,2,3,1,1,3,0
9,2,4,1,5,3,1,4,0
10,1,2,2,5,1,2,1,0
11,1,5,2,6,2,3,3,0
12,1,1,2,4,1,3,3,0
13,2,8,2,7,2,1,4,0
14,1,3,1,4,4,3,3,0
15,1,1,1,5,3,2,1,0
16,1,2,2,5,1,2,1,0
17,2,3,1,5,3,1,1,0
18,2,6,2,4,1,4,1,0
19,3,2,2,6,1,2,2,0
20,1,1,2,5,1,2,1,0
21,2,2,2,5,1,1,1,0
22,2,6,1,4,1,1,4,1
23,2,2,2,3,1,3,2,0
24,1,1,2,5,4,1,1,0
25,2,2,2,5,1,3,2,0
26,1,2,1,2,1,4,2,0
27,2,2,2,3,1,4,1,0
28,3,3,1,5,4,2,4,0
29,3,7,2,5,1,4,4,0
30,3,5,2,5,1,4,2,0
31,3,6,2,5,1,3,3,0
32,3,6,2,6,1,4,3,0
33,3,4,1,3,3,3,3,0
34,1,3,1,4,1,1,1,0
35,1,1,2,2,1,4,4,0
36,3,2,2,3,1,4,1,0
37,3,2,2,4,1,4,4,0
38,3,3,1,5,4,2,2,0
39,3,4,2,5,1,4,3,0
40,3,2,2,2,4,3,1,0
41,1,4,1,4,1,4,1,0
42,3,3,2,3,1,2,1,0
43,2,4,2,5,4,3,4,0
44,2,3,1,3,4,2,4,0
45,1,3,1,3,1,1,3,1
46,3,4,1,3,1,3,1,0
47,3,3,2,4,2,2,1,1
48,3,4,1,3,2,1,1,0
49,1,4,2,3,2,3,1,0
50,3,2,1,2,1,2,1,0
51,3,6,1,5,1,2,1,0
52,3,2,2,3,1,2,1,0
53,3,2,2,4,4,4,1,0
54,3,4,1,6,4,4,3,0
