,信用(Y),銀行口座残高,ローン期間,前回のローンの状態,目的,ローン金額,貯金・株残高,雇用期間（ただいまの仕事）,収入に対しローンの割合,性別・婚姻状況,保証人,現住所に住んでいた期間,最も価値のあるアセット,年齢,その他のローン,住所タイプ,同銀行ローン数,職業,扶養者数,電話,労働形態,年齢_cat,ローン期間_cat,ローン金額_cat
0,0,1,18,2,2,1049,1,1,4,1,1,4,2,21,2,1,1,2,1,1,1,1,3,3
1,0,1,9,2,0,2799,1,2,2,2,1,2,1,36,2,1,2,2,2,1,1,2,2,5
2,0,2,12,1,6,841,2,3,2,1,1,4,1,23,2,1,1,1,1,1,1,1,2,2
3,0,1,12,2,0,2122,1,2,3,2,1,2,1,39,2,1,2,1,2,1,2,2,2,4
4,0,1,12,2,0,2171,1,2,4,2,1,4,2,38,1,2,2,1,1,1,2,2,2,4
5,0,1,10,2,0,2241,1,1,1,2,1,3,1,48,2,1,2,1,2,1,2,3,2,4
6,0,1,8,2,0,3398,1,3,1,2,1,4,1,39,2,2,2,1,1,1,2,2,2,5
7,0,1,6,2,0,1361,1,1,2,2,1,4,1,40,2,2,1,1,2,1,2,3,1,3
8,0,3,18,2,3,1098,1,1,4,1,1,4,3,65,2,2,2,1,1,1,1,5,3,3
9,0,2,24,1,3,3758,3,1,1,1,1,4,4,23,2,1,1,1,1,1,1,1,4,5
10,0,1,11,2,0,3905,1,2,2,2,1,2,1,36,2,1,2,2,2,1,1,2,2,5
11,0,1,30,2,1,6187,2,3,1,3,1,4,3,24,2,1,2,2,1,1,1,1,5,6
12,0,1,6,2,3,1957,1,3,1,1,1,4,3,31,2,2,1,2,1,1,1,2,1,4
13,0,2,48,2,7,7582,2,1,2,2,1,4,4,31,2,2,1,3,1,2,1,2,8,7
14,0,1,18,1,3,1936,4,3,2,3,1,4,3,23,2,1,2,1,1,1,1,1,3,4
15,0,1,6,1,3,2647,3,2,2,2,1,3,1,44,2,1,1,2,2,1,1,3,1,5
16,0,1,11,2,0,3939,1,2,1,2,1,2,1,40,2,2,2,1,2,1,1,3,2,5
17,0,2,18,1,3,3213,3,1,1,3,1,3,1,25,2,1,1,2,1,1,1,1,3,5
18,0,2,36,2,3,2337,1,4,4,2,1,4,1,36,2,2,1,2,1,1,1,2,6,4
19,0,3,11,2,0,7228,1,2,1,2,1,4,2,39,2,2,2,1,1,1,1,2,2,6
20,0,1,6,2,0,3676,1,2,1,2,1,3,1,37,2,1,2,2,2,1,1,2,1,5
21,0,2,12,2,0,3124,1,1,1,2,1,3,1,49,1,2,2,1,2,1,1,3,2,5
22,1,2,36,1,3,2384,1,1,4,2,1,1,4,33,2,1,1,1,1,1,1,2,6,4
23,0,2,12,2,3,1424,1,3,4,2,1,3,2,26,2,2,1,2,1,1,1,2,2,3
24,0,1,6,2,0,4716,4,1,1,2,1,3,1,44,2,2,2,1,2,1,1,3,1,5
25,0,2,11,2,3,4771,1,3,2,2,1,4,2,51,2,2,1,2,1,1,1,3,2,5
26,0,1,12,1,2,652,1,4,4,1,1,4,2,24,2,1,1,2,1,1,1,1,2,2
27,0,2,9,2,3,1154,1,4,2,2,1,4,1,37,2,2,2,1,1,1,1,2,2,3
28,0,3,15,1,0,3556,4,2,3,2,1,2,4,29,2,2,1,2,1,1,1,2,3,5
29,0,3,42,2,1,4796,1,4,4,2,1,4,4,56,2,3,1,2,1,1,1,3,7,5
30,0,3,30,2,3,3017,1,4,4,2,1,4,2,47,2,2,1,2,1,1,1,3,5,5
31,0,3,36,2,0,3535,1,3,4,2,1,4,3,37,2,2,2,2,1,2,1,2,6,5
32,0,3,36,2,0,6614,1,4,4,2,1,4,3,34,2,2,2,3,1,2,1,2,6,6
33,0,3,24,1,3,1376,3,3,4,1,1,1,3,28,2,2,1,2,1,1,1,2,4,3
34,0,1,15,1,0,1721,1,1,2,2,1,3,1,36,2,2,1,2,1,1,1,2,3,4
35,0,1,6,2,0,860,1,4,1,1,1,4,4,39,2,2,2,2,1,2,1,2,1,2
36,0,3,12,2,0,1495,1,4,4,2,1,1,1,38,2,2,2,1,2,1,1,2,2,3
37,0,3,12,2,3,1934,1,4,2,2,1,2,4,26,2,2,2,2,1,1,1,2,2,4
38,0,3,18,1,1,3378,4,2,2,2,1,1,2,31,2,2,1,2,1,2,1,2,3,5
39,0,3,24,2,1,3868,1,4,4,1,1,2,3,41,2,1,2,3,1,2,1,3,4,5
40,0,3,12,2,3,996,4,3,4,1,1,4,1,23,2,2,2,2,1,1,1,1,2,2
41,0,1,24,1,7,1755,1,4,4,1,2,4,1,58,2,2,1,1,1,2,1,3,4,4
42,0,3,18,2,0,1028,1,2,4,1,1,3,1,36,2,2,2,2,1,1,1,2,3,3
43,0,2,24,2,6,2825,4,3,4,2,1,3,4,34,2,2,2,2,2,2,1,2,4,5
44,0,2,18,1,3,1239,4,2,4,2,1,4,4,61,2,3,1,2,1,1,1,4,3,3
45,1,1,18,1,0,1216,1,1,4,1,1,3,3,23,2,1,1,2,1,2,1,1,3,3
46,0,3,24,1,6,1258,1,3,4,2,1,1,1,25,2,2,1,2,1,2,1,1,4,3
47,1,3,18,2,3,1864,2,2,4,1,1,2,1,30,2,2,2,2,1,1,1,2,3,4
48,0,3,24,1,0,1474,2,1,4,3,1,3,1,33,2,2,1,2,1,2,1,2,4,3
49,0,1,24,2,6,1382,2,3,4,2,1,1,1,26,2,2,2,2,1,2,1,2,4,3
