,信用(Y),銀行口座残高,ローン期間,前回のローンの状態,目的,ローン金額,貯金・株残高,雇用期間（ただいまの仕事）,収入に対しローンの割合,性別・婚姻状況,保証人,現住所に住んでいた期間,最も価値のあるアセット,年齢,その他のローン,住所タイプ,同銀行ローン数,職業,扶養者数,電話,労働形態
0,0,1,3,2,2,3,1,1,4,1,1,4,2,1,2,1,1,2,1,1,1
1,0,1,2,2,0,5,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1
2,0,2,2,1,6,2,2,3,2,1,1,4,1,1,2,1,1,1,1,1,1
3,0,1,2,2,0,4,1,2,3,2,1,2,1,2,2,1,2,1,2,1,2
4,0,1,2,2,0,4,1,2,4,2,1,4,2,2,1,2,2,1,1,1,2
5,0,1,2,2,0,4,1,1,1,2,1,3,1,3,2,1,2,1,2,1,2
6,0,1,2,2,0,5,1,3,1,2,1,4,1,2,2,2,2,1,1,1,2
7,0,1,1,2,0,3,1,1,2,2,1,4,1,3,2,2,1,1,2,1,2
8,0,3,3,2,3,3,1,1,4,1,1,4,3,5,2,2,2,1,1,1,1
9,0,2,4,1,3,5,3,1,1,1,1,4,4,1,2,1,1,1,1,1,1
10,0,1,2,2,0,5,1,2,2,2,1,2,1,2,2,1,2,2,2,1,1
11,0,1,5,2,1,6,2,3,1,3,1,4,3,1,2,1,2,2,1,1,1
12,0,1,1,2,3,4,1,3,1,1,1,4,3,2,2,2,1,2,1,1,1
13,0,2,8,2,7,7,2,1,2,2,1,4,4,2,2,2,1,3,1,2,1
14,0,1,3,1,3,4,4,3,2,3,1,4,3,1,2,1,2,1,1,1,1
15,0,1,1,1,3,5,3,2,2,2,1,3,1,3,2,1,1,2,2,1,1
16,0,1,2,2,0,5,1,2,1,2,1,2,1,3,2,2,2,1,2,1,1
17,0,2,3,1,3,5,3,1,1,3,1,3,1,1,2,1,1,2,1,1,1
18,0,2,6,2,3,4,1,4,4,2,1,4,1,2,2,2,1,2,1,1,1
19,0,3,2,2,0,6,1,2,1,2,1,4,2,2,2,2,2,1,1,1,1
20,0,1,1,2,0,5,1,2,1,2,1,3,1,2,2,1,2,2,2,1,1
21,0,2,2,2,0,5,1,1,1,2,1,3,1,3,1,2,2,1,2,1,1
22,1,2,6,1,3,4,1,1,4,2,1,1,4,2,2,1,1,1,1,1,1
23,0,2,2,2,3,3,1,3,4,2,1,3,2,2,2,2,1,2,1,1,1
24,0,1,1,2,0,5,4,1,1,2,1,3,1,3,2,2,2,1,2,1,1
25,0,2,2,2,3,5,1,3,2,2,1,4,2,3,2,2,1,2,1,1,1
26,0,1,2,1,2,2,1,4,4,1,1,4,2,1,2,1,1,2,1,1,1
27,0,2,2,2,3,3,1,4,2,2,1,4,1,2,2,2,2,1,1,1,1
28,0,3,3,1,0,5,4,2,3,2,1,2,4,2,2,2,1,2,1,1,1
29,0,3,7,2,1,5,1,4,4,2,1,4,4,3,2,3,1,2,1,1,1
30,0,3,5,2,3,5,1,4,4,2,1,4,2,3,2,2,1,2,1,1,1
31,0,3,6,2,0,5,1,3,4,2,1,4,3,2,2,2,2,2,1,2,1
32,0,3,6,2,0,6,1,4,4,2,1,4,3,2,2,2,2,3,1,2,1
33,0,3,4,1,3,3,3,3,4,1,1,1,3,2,2,2,1,2,1,1,1
34,0,1,3,1,0,4,1,1,2,2,1,3,1,2,2,2,1,2,1,1,1
35,0,1,1,2,0,2,1,4,1,1,1,4,4,2,2,2,2,2,1,2,1
36,0,3,2,2,0,3,1,4,4,2,1,1,1,2,2,2,2,1,2,1,1
